Comp Ch 3,Comp Ch 4
0.649983,0.033652
0.430141,0.0151647
0.383705,0.0194437
0.359269,0.0180419
0.139247,0.0144451
-0.0308724,0.0124768
-0.0137297,0.0115451
-0.0131133,0.00364467
-0.0109047,0.000199037
0.00521767,0.0029114
-0.00674747,0.00360769
-0.0308686,0.00105919
-0.0508372,-0.00297973
-0.0563399,-0.00528909
-0.0469658,-0.0073286
-0.0365665,-0.00482922
-0.0922916,-0.00158346
-0.185514,-0.00219417
-0.224065,-0.00290156
-0.192175,-0.00330491
-0.0931964,0.00586732
-0.12801,0.01098
-0.154722,7.24e-05
-0.115484,-0.0127209
-0.0203985,-0.00822689
0.183532,-0.00381382
0.33706,0.000533178
0.280176,-0.00298286
0.112464,-0.00462347
0.0363422,-0.000927086
0.0683023,-0.00353771
-0.0317253,-0.00810366
-0.180984,-0.00974358
-0.0838503,-0.0084757
0.15012,0.000261247
0.132224,0.00802292
-0.0241819,0.00786377
-0.0014664,0.00972077
-0.00399219,0.0136041
-0.00698472,0.0131852
0.0380655,0.00660361
0.00774363,-0.00312156
0.000499806,-0.00023938
0.0104284,0.001154
0.0067527,0.00125872
-0.00361829,-0.00360596
-0.0131183,-0.00905672
-0.0162937,-0.00833106
-0.0358844,-0.00511606
-0.0946209,-0.00838018
-0.131319,-0.0109642
-0.110807,-0.00165481
-0.0927237,0.00742211
-0.106729,0.000889563
-0.0804361,0.00252686
0.0907891,-0.00542183
0.121892,-0.000284209
0.0842538,0.0169036
0.0861047,-0.00374085
0.00906252,-0.0278778
-0.0343467,-0.0164321
0.00684273,0.0167596
0.12181,0.0301191
0.0899686,0.0347756
0.0151721,0.0166883
0.0122615,-0.00905909
0.0311424,-0.0174072
0.0359327,-0.0127331
0.00810715,-0.00670959
0.000579046,-0.00547176
-0.00436659,5.73e-05
-0.028256,0.0044635
-0.0664452,0.00107428
-0.0876824,0.000674173
-0.0412211,0.0011191
0.0140069,0.00590875
0.0218696,0.00981236
0.016417,0.00356838
-0.0029054,-0.00160072
-0.0167412,-0.00436422
4.34e-05,-0.00820916
0.0289032,-0.00581323
0.0240414,-0.00235981
-0.00699625,-0.00190373
-0.054907,-0.00228995
-0.0413141,-0.00347603
0.0340226,-0.00449086
0.102508,0.00974299
0.0743189,0.0161052
-0.00527354,0.00646425
-0.0356676,-0.00470158
-0.0315113,-0.00689338
-0.0392673,-0.00309257
-0.0643047,-0.00465139
-0.0775021,-0.00233395
-0.136744,-0.00805689
-0.289021,-0.00922519
-0.403938,-0.00719343
-0.381758,0.0216953
0.0529644,0.0288338
0.681468,-0.0115258
0.629987,-0.0186958
0.297994,-0.00119991
0.114831,-0.000117573
0.0361163,-0.000598487
-0.0268543,0.00127944
-0.0737536,0.00390967
-0.0668681,0.0202502
-0.0244726,0.0340026
-0.00521311,-0.0107938
-0.000166627,-0.045591
0.0198834,0.000639844
0.0119668,0.00184645
0.00464893,-0.0195852
0.0163652,-0.00605327
0.00987255,0.0187743
-0.038022,0.00924902
-0.14463,-0.0227067
-0.209276,-0.0159624
-0.214093,0.0115393
-0.117901,0.0608309
0.0760686,-0.00851974
0.060819,-0.0591386
-0.0561769,-0.00400747
-0.0618654,0.0955546
0.0360653,0.182007
0.0765284,0.0344376
0.0695805,-0.0946819
0.0912649,-0.081668
0.0764161,-0.0507575
0.0756022,-0.0543759
0.0776076,-0.042659
0.0457881,-0.012231
-0.00248278,0.00759477
-0.0384305,0.00414374
-0.0392443,-0.00575871
-0.0180135,-0.00696799
-0.0127936,0.000514793
-0.0337154,0.00976383
-0.0537425,0.00903283
-0.0425022,-0.00121283
-0.00365027,-0.016172
0.0326343,-0.00946365
0.03994,0.0180134
0.0232727,0.0184644
0.0154931,0.0128358
-0.000641046,0.0023617
-0.0473941,-0.00802723
-0.147494,-0.0118451
-0.201028,9.07e-05
-0.255357,0.00573714
-0.239686,-0.0129858
-0.0933894,-0.0189059
0.145372,-0.00319543
0.193482,0.00744166
0.207094,0.0182577
0.265311,0.023586
0.211867,0.00597889
0.130491,-0.000415706
0.0932853,0.00824283
0.0562935,0.0131675
0.0283313,0.0221598
0.0275058,0.0221271
0.0236392,0.0156484
0.0132537,0.00780479
-0.0150078,0.0029879
-0.0659649,0.000688601
-0.096958,-0.00258765
-0.0791292,0.00587193
-0.0715133,-0.0143869
-0.170526,-0.0295304
-0.227778,-0.0171638
-0.155524,-0.0019842
0.0611365,0.00114503
0.11874,-0.00117185
0.104166,0.000698071
0.102588,0.000282019
0.0622397,0.00274124
0.0291149,0.00698794
0.0133443,-0.0027809
0.0205386,-0.0176808
-0.0177811,-0.0325496
-0.112847,-0.0388593
-0.20573,0.00202044
-0.15105,0.0531722
0.0252202,0.0426591
0.0660896,0.0237549
0.125799,-0.0214478
0.176909,-0.0519604
0.0955302,-0.00148674
0.00406895,0.0128496
-0.0249509,-0.00714137
-0.0115681,-0.00602445
-0.00878678,0.001686
-0.027607,0.00480036
-0.0240038,-0.00481397
0.00474359,-0.00715537
0.00956196,-0.00208866
0.0657748,0.00126256
0.0982042,0.0147246
0.0263336,0.0195456
-0.0650803,0.00924189
-0.0711728,-0.00172778
-0.0647005,-0.00921929
-0.128745,-0.00754485
-0.175181,-0.0130432
-0.297113,-0.024036
-0.277749,-0.0342144
-0.0413163,0.00837412
0.147076,0.0365276
0.251898,0.0313617
0.231918,0.0167728
0.125453,0.00256952
0.0746492,0.0348832
0.135447,0.00462358
0.204456,-0.0195817
0.169432,-0.00830312
0.0824922,-0.000498182
0.0374784,-0.00750266
0.0112492,-0.00970855
-0.00107105,-0.0105409
-0.0265125,-0.016309
-0.0537091,0.000936816
-0.0816285,0.00723501
-0.0870157,-0.00686872
-0.0761915,-0.00932104
-0.068602,-0.00210775
-0.0680875,0.00175409
-0.0766888,0.00302722
-0.0714041,-0.00026192
-0.0775717,-0.00471035
-0.137965,-0.00155448
-0.288158,0.00365368
-0.330476,0.0114966
-0.0700711,-0.00179942
0.173856,-0.0216073
0.0960941,-0.00987483
-0.118823,-0.0132709
-0.047304,-0.0118397
0.328636,0.0379702
0.459373,0.0220895
0.270677,-0.023665
0.103728,-0.0019058
0.0513883,0.0107177
0.0406309,0.00565903
0.0466299,-2.73e-06
0.0730005,-0.00190266
0.0627274,0.000824277
-0.0340525,0.00578573
-0.154941,0.0105861
-0.196827,0.00944604
-0.0925873,0.00104091
-0.0156201,-0.00372979
