Comp Ch 3,Comp Ch 4
-0.0311998,0.0225003
-0.0189216,-0.0327392
-0.0117681,-0.0426787
-0.0172318,0.00681473
-0.0167456,0.0207681
-0.00444173,0.0286359
0.0556288,0.0293903
0.119498,-0.00318811
0.0476034,-0.0817994
-0.0739737,-0.00528202
-0.11466,0.0567542
-0.0721155,0.0140245
0.0247557,-0.0343264
0.089034,-0.00878561
0.02512,0.0149312
-0.0263077,0.0369445
9.09e-05,-0.000271806
0.0493847,0.00227632
0.0473109,-0.0179088
-0.00357675,-0.0253913
-0.0113173,-0.00126135
0.00712476,-0.0151317
0.00928282,0.0112793
0.001411,0.032217
-0.012445,0.0262989
-0.0433203,-0.00053763
-0.0681878,0.0112356
-0.0514018,-0.00057537
-0.0804552,-0.0850549
-0.0849975,-0.0364978
-0.0575767,-0.00865228
0.0453163,0.0520851
0.085387,0.0788245
0.0611245,0.0225229
0.0227822,-0.0448802
-0.114359,-0.041367
-0.11546,0.0332133
0.0146389,0.00501156
0.158814,-0.0677234
0.167745,-0.0393588
0.126991,-0.0172731
0.0930688,-0.0176867
-0.081767,-0.0264589
-0.110261,0.0307895
-0.103943,0.0612768
-0.0372087,0.0338283
0.166698,0.0474451
0.107628,0.0156158
-0.0478547,-0.0176561
-0.0738766,-0.052311
-0.000140845,-0.0140775
0.017822,0.0257205
-0.0308248,0.0310439
-0.0309171,3.71e-05
0.00545697,-0.0216929
-0.0149427,-0.0177833
-0.0167988,0.0225232
-0.0139372,-0.00231544
0.0200372,-0.00966215
0.0239328,-0.0151169
-0.0379672,-0.0246712
0.00901788,-0.0223839
0.0608834,0.0711
-0.00237161,0.0842491
-0.0513463,0.0499091
-0.0210465,-0.0460678
-0.037926,-0.0784477
-0.0629339,-0.0389652
-0.00948244,-0.0195485
-0.00359199,-0.0127204
0.0511907,0.0618139
0.0184841,-0.0206601
0.0133449,-0.063677
0.0568304,0.0192803
0.0677934,0.0503962
-0.0185085,0.0224746
-0.0249148,-0.0465957
0.0216249,-0.0109934
-0.00049419,0.0386289
0.00397302,0.0354166
-0.0161764,0.00532462
-0.130054,0.00534741
-0.195259,0.0290019
-0.115871,-0.0164354
-0.0352864,-0.00773574
-0.0128185,-0.0339691
0.103051,-0.0269691
0.270832,0.0259088
0.193458,0.00658608
-0.000437315,-0.0147988
-0.00968525,-0.0114576
0.00066651,0.013842
0.011203,-0.00635026
0.0148225,-0.000311954
0.0356706,0.013756
0.0111549,0.0002678
-0.0214782,-0.0146333
-0.033448,0.00341163
-0.0207384,-0.00422408
-0.0183749,0.0070708
0.00314318,0.00346028
-0.0124984,0.00597268
-0.0444143,0.0353958
-0.0607637,0.00253586
-0.0426793,-0.0490223
0.0196778,0.00188923
0.0314867,0.00498537
0.0221187,-0.00260198
0.018843,-0.0262245
0.0275181,0.00290648
0.0223505,0.0111559
-0.0148267,0.00614373
-0.104621,-0.0309414
-0.167191,-0.0167402
-0.215099,-0.0180615
0.00295185,0.0233635
0.213888,0.0524727
0.1595,-0.0345408
0.0597902,0.00515127
0.0186765,0.0348837
0.0248628,0.0191345
0.0111876,-0.0159173
-0.0306441,-0.00714724
-0.0101709,0.0320502
0.0251988,-0.00484783
0.0062612,-0.0056965
-0.0468527,0.0104894
-0.0629947,-0.0306621
-0.0151851,-0.0336526
0.060857,-0.00346078
0.0521735,-6.71e-05
0.00639288,-0.00738384
0.023167,-0.0220005
-0.00212115,0.0146607
-0.0439801,0.0167388
-0.0438642,0.0165942
-0.00966971,0.007322
-0.0350494,0.00264776
-0.082202,0.00499332
-0.10815,-0.0332913
-0.0180656,-0.0279872
0.0770255,0.0286058
0.123163,0.024233
0.0848749,0.0748429
0.0381023,0.0521385
0.0130982,-0.00124523
-0.0271556,-0.103162
-0.0181638,-0.0754288
0.0188001,0.052585
0.0231724,-0.00253419
0.0129232,0.00668088
-0.00600972,-0.0025675
-0.0128904,0.014253
-0.00372445,0.0207584
-0.00458009,-0.000903315
-0.0372691,-0.0180221
-0.029408,-0.0134367
-0.0310697,-0.0147575
-0.0419754,-0.091334
0.00160033,0.0186862
0.0666953,0.000723876
0.105355,-0.0161408
0.0126649,0.0259614
-0.0417237,0.0663508
0.0045118,-0.00598111
0.0140868,-0.0252986
-0.0876513,-0.01091
-0.0984132,0.0384441
0.00507985,0.0388028
0.0576373,0.0139339
-0.0150921,-0.023035
-0.104587,-0.008266
0.0436816,0.00231003
0.0930262,-0.03144
0.0621049,0.00288503
-0.0625591,-0.0365536
-0.0738344,0.0571437
-0.0500625,0.0843531
0.0423947,-0.00194932
0.0742658,-0.0324548
0.0316039,-0.0213281
-0.015947,0.00020568
-0.031423,0.00301255
0.0559456,-0.0348696
0.0221745,-0.0257303
0.0133474,0.0408499
0.0107021,0.034485
-0.00606862,-0.0192055
-0.0063298,-0.00830986
-0.00698559,0.00107065
-0.0248745,-0.0180771
