Comp Ch 3,Comp Ch 4
-0.0162011,0.00477784
-0.0111718,0.0136946
-0.0182582,0.0112886
-0.0277646,0.00999299
-0.0218088,0.00382159
-0.00486469,-0.0101002
0.0175529,-0.0115926
0.0324537,-0.00363267
0.0342035,0.00231589
0.0290587,0.00238545
0.0258753,-0.00089159
0.027025,-0.00260607
0.0227504,-0.00145951
0.00653665,0.000369682
-0.0112945,-0.000186097
-0.0296282,-0.00683236
-0.0302264,-0.00726759
-0.0181255,0.00667514
-0.0141628,0.00556749
0.0256346,0.00475368
0.0814421,0.00291661
0.147208,0.000136665
0.168064,0.00319328
0.0672605,0.00641884
-0.045236,0.00659962
-0.144907,0.00460142
-0.161662,0.0002876
-0.119641,-0.000916088
-0.0582592,-0.00158045
-0.00786463,-0.000723867
0.00725337,0.00118288
0.00277983,-0.00433157
0.00458302,-0.0164015
0.006667,-0.0207342
0.00438043,-0.01746
-0.00771011,0.00561688
-0.0274898,0.0153918
-0.0353312,0.0105488
-0.0198399,0.00201051
0.00240269,0.00142569
0.0242429,0.00109031
0.0338039,-0.00309805
0.0279963,-0.00516836
0.0166328,-0.00387305
0.0153334,-0.000375665
0.0248356,0.00175998
0.0286507,-0.0015958
0.0169397,-0.00212966
-0.0278165,0.00685237
-0.049631,0.00132203
-0.0448569,-0.00615837
0.00195544,-0.00235076
0.0453121,0.00217839
0.022373,0.0069785
-0.000637267,0.00925308
-0.0042548,0.0138391
0.00959614,0.00485192
0.0243832,-0.00580453
0.0308471,-0.0054398
0.0299953,-0.00209229
0.0282732,-0.000308561
0.0257939,0.00247871
0.0226424,0.00629806
0.0103991,0.00917161
-0.0035941,0.0114394
-0.0188048,0.00709877
-0.0297877,-0.00512165
-0.0326118,-0.00350302
-0.0332111,0.00311054
-0.0348357,0.00138447
-0.029215,-0.00575013
-0.0218639,-0.0125049
-0.0109845,-0.016525
0.00261346,-0.0197416
0.0139798,-0.0235892
0.0197828,0.00506149
0.0189286,0.00917544
0.0180048,-0.0094075
0.0249276,-0.0292152
0.0252081,-0.0157175
0.0106653,0.00725062
-0.00394531,0.0167176
-0.0121452,0.0403123
-0.0114114,0.0306415
-0.015508,0.0154726
-0.0264349,0.00283589
-0.0328514,-0.0140539
-0.0258441,-0.012018
-0.0114813,-0.0016272
0.000834852,0.0136176
0.00842692,0.0129306
0.0134959,0.00857705
0.0171132,-0.00274423
0.0182241,-0.0135342
