Comp Ch 3,Comp Ch 4
-0.00182812,-0.0938016
0.00239431,-0.034815
-0.00101877,0.0433393
-0.0130873,0.0301141
-0.020967,0.0329121
-0.0134216,0.0558981
-0.0148555,0.0258866
-0.0273781,0.00575605
-0.0339697,0.0387376
-0.0299747,0.0238647
-0.0154823,0.0273
0.00699339,0.0122215
0.0513135,-0.0256696
0.0750513,-0.0944197
0.065308,-0.125726
0.0326244,-0.0527222
-0.0320504,0.0156036
-0.0255611,0.0770987
0.00560833,0.052281
0.00282916,0.00322076
0.00218793,-0.0143544
0.0324081,0.00388238
0.0499428,0.0407711
0.0191935,0.0352476
-0.0278222,0.0162912
-0.0788771,-0.0024747
-0.100643,-0.0224054
-0.0603788,-0.0137308
-0.0348962,0.000538059
-0.0361,-0.0619722
0.00350986,-0.0326447
0.00445024,-0.00315259
0.0127925,0.00541419
0.0105438,0.00624848
-0.00271624,0.0147893
-0.0119285,0.0309637
-0.0200104,0.00659063
-0.0125387,-0.0185758
0.0135576,-0.0233818
0.029174,0.0151928
0.0205822,0.0111487
0.0011816,-0.0580016
-0.00584064,-0.0344011
0.00338603,0.0363718
0.00904599,-0.0753356
0.0362315,-0.120089
0.0673109,0.0638627
0.0698652,0.1054
0.0533112,0.0818124
-0.00601114,-0.00444332
-0.0742946,-0.0945397
-0.104153,-0.0535577
-0.0863038,0.00904398
-0.0427503,0.0313947
0.0312659,0.0434224
0.0795139,0.0327479
0.0894993,-0.0435516
0.0714359,-0.064156
0.0517817,0.0223536
0.0420114,0.0777576
0.0273961,0.0383354
0.00735495,-0.00931973
-0.0234282,0.00111929
-0.0723248,0.0419626
-0.117547,0.0472403
-0.128824,-0.00240475
-0.0482005,-0.00113881
0.00181055,-0.0319228
0.0122561,-0.0373153
0.0213172,0.0286726
0.0247503,0.0118396
0.0278098,0.00977284
0.0304258,0.0247597
0.0216281,0.023346
0.00370826,0.00970084
-0.0118192,-0.0201829
-0.0119408,-0.0394366
-0.00268543,-0.0138701
-7.38e-05,0.0302631
0.000615783,0.0431292
0.0116847,0.0246855
0.0251747,0.00246702
0.029682,0.00510718
