Comp Ch 3,Comp Ch 4
-0.0942332,-0.025261
-0.182003,0.006903
-0.171487,0.0160922
0.00657571,-0.0117135
0.0543395,-0.0308339
0.0120383,-0.00776698
-0.077109,0.0256025
-0.238505,0.0272316
-0.262317,0.0158609
-0.187173,0.00274154
-0.151624,0.00724565
0.0352916,0.00809565
0.229682,-0.0169063
0.309454,-0.028989
0.310927,-0.0153336
0.220649,-0.0096997
0.0617913,-0.00195493
-0.149603,0.0264382
-0.243513,0.0263364
0.174642,-0.00754655
0.5964,-0.00854537
0.524299,-0.00558054
0.14671,0.00731897
-0.256208,0.0217115
-0.554316,0.0270194
-0.636816,0.0187537
-0.454524,0.00618777
-0.215772,-0.00760298
-0.00548123,-0.00280696
0.140546,0.0339149
0.1491,0.0225632
0.00969183,-0.00671339
-0.086281,-0.0150246
0.0369774,-0.0208341
0.2242,-0.0393
0.275996,-0.0507339
0.237831,-0.0586109
0.16129,-0.0341181
0.10575,-0.0166471
0.0974146,-0.000236458
0.130335,-0.00977696
0.17073,0.0102721
0.260285,0.0216812
0.470191,0.0281212
0.313175,0.0219301
-0.0509566,-0.0150148
-0.393409,-0.0331212
-0.619297,-0.0217679
-0.681113,0.0150346
-0.71123,0.0709839
-0.633029,0.0931793
-0.376462,0.00814548
-0.0532833,-0.00298944
0.191278,0.0279939
0.240842,0.00652327
0.224493,-0.0274354
0.28009,-0.00820157
0.279072,0.00721239
0.173287,-0.0248438
0.102318,-0.0183721
0.0381549,-0.022664
-0.0421872,-0.033808
-0.0908488,-0.0280298
-0.0361813,-0.000808452
0.18194,0.00070642
0.474537,-0.0180253
0.502088,-0.0185873
0.18783,0.0216197
-0.0175403,0.0201391
-0.038753,-0.00571653
-0.183331,-0.00251826
-0.157166,0.0392994
0.0519762,0.0477324
0.183498,0.01922
0.0497977,0.00822332
-0.125497,0.00690463
-0.146902,0.00359859
-0.0597229,-0.00102633
-0.139042,0.0244427
-0.304477,0.0384879
-0.407465,-0.0113235
-0.380866,-0.0654116
-0.210974,-0.0468087
-0.0448195,-0.0177085
-0.0298762,0.0125293
-0.0780456,0.0308466
-0.0671845,0.00310771
-0.0276086,-0.00761843
0.0172213,-0.0218737
0.051336,-0.0338605
0.1529,0.0127566
0.238242,0.0153835
0.238272,-0.0116891
0.230417,-0.0235516
0.240655,-0.0455677
0.192574,-0.0139111
0.0554002,0.0329243
-0.0087584,0.0345953
0.0139309,0.0133582
-0.021806,0.00932948
-0.00296741,0.0254359
0.0508632,0.00343774
0.173395,-0.0233286
0.214606,-0.0282822
0.0789722,-0.00361052
-0.113213,0.0221642
-0.174718,-0.000979327
-0.0886601,-0.0238763
0.00482476,-0.0196225
0.096845,-0.0266844
0.168778,-0.0106913
0.141733,0.0235266
-0.0806919,0.00382726
-0.318096,-0.0141109
-0.433358,0.00686066
-0.480781,0.0324536
-0.3598,0.0301034
-0.138047,0.0227456
0.0227668,0.0145297
0.113434,0.000698775
0.111206,0.00753498
0.0262434,0.0014567
-0.0516708,0.00465665
-0.0310163,-0.00531308
0.0915411,-0.00605965
0.175689,0.00831168
0.258784,0.0128136
0.261373,0.00528409
0.320772,0.00466712
0.408871,0.00532489
0.308062,5.53e-05
0.0276354,-0.00739042
-0.241233,-0.010192
-0.339517,-0.00662897
-0.331837,0.000609948
-0.302231,-0.0184445
-0.226425,-0.0370118
-0.0955739,-0.0428129
0.0299346,-0.0204026
0.17631,0.00971034
0.232201,0.00990459
0.150581,0.00497315
-0.0210132,0.0188678
-0.0593622,0.0342267
0.0300431,0.0283688
-0.00667379,0.00357162
-0.085967,-0.0029273
0.0272393,0.0283752
0.0728114,0.0247163
0.0342166,-0.0157833
0.0402783,-0.0308987
-0.0638074,-0.049883
-0.169323,-0.0206916
-0.0855897,0.0131932
0.0417965,-0.00710397
0.115828,-0.0359592
0.0975439,-0.00378998
0.190241,0.0170532
0.212319,-0.0094105
0.122775,0.0151027
0.0280747,0.0400714
0.00136252,0.0122799
-0.0405681,0.025732
-0.235178,0.00192867
-0.440859,-0.0421232
-0.486266,-0.0312212
-0.283875,-0.00433088
-0.0343357,0.0122354
0.141754,0.0288458
0.229047,0.0174759
0.218677,-0.0311057
0.208357,-0.0347008
0.150279,-0.0217481
-0.0141297,-0.00574794
-0.124476,0.0462666
-0.111263,0.0609598
-0.00578806,0.00292284
0.0945234,-0.00227938
0.153139,-0.0148677
0.125336,-0.00619165
0.0516866,0.0202842
-0.0416241,0.00817326
-0.109313,0.0163625
-0.195503,-0.00179582
-0.259847,-0.0351072
-0.154808,0.00167226
-0.0418728,0.0274298
0.0212097,-0.0103948
0.170253,-0.0284756
0.219586,-0.0132157
0.222279,-0.0113601
0.257587,-0.0193966
0.174285,-0.0148856
0.0901849,-0.00779913
0.0530592,-0.0242959
0.0824085,0.0119017
0.09721,0.0437873
-0.0708152,0.026629
-0.175736,0.03082
-0.248317,0.0270146
-0.300942,-0.00153605
-0.273334,-0.00440303
-0.165026,-0.0154288
-0.042798,-0.0221079
-0.0466808,-0.0168181
-0.0474022,-0.0177674
-0.018495,-0.018698
0.00730949,-0.00599312
0.011009,-0.00153624
0.0930698,0.00865676
0.158518,0.0205295
0.275649,-0.00817728
0.405083,-0.00914437
0.258431,0.00292263
-0.0598606,0.00509533
-0.233916,0.0200901
-0.334531,-0.00404449
-0.340282,-0.0156543
-0.166706,0.00298667
0.122897,0.0308103
0.232701,0.0171695
0.0803439,-0.00700064
-0.12765,0.0246835
-0.247929,0.013406
-0.214962,-0.000566246
-0.147297,-0.0133613
-0.0472213,-0.0218523
0.125299,0.00340179
0.224487,-0.0151931
0.291734,-0.0428353
0.33317,-0.0256672
0.307941,-0.0247549
0.311328,-0.014172
0.29347,-0.000243628
0.167355,0.0247677
-0.0164568,0.0481501
-0.164017,0.0387644
-0.161009,0.0450249
-0.157677,0.0143299
0.203989,-0.0217048
0.458138,-0.0296014
0.10577,-0.0111957
-0.428678,0.00212432
-0.760625,0.010792
-0.700877,0.0141741
-0.366403,-0.00832967
-0.0421501,-0.0380769
0.0737525,-0.0352917
0.0608803,-0.0170239
0.0197533,-0.00460636
-0.0400803,0.022053
-0.0272072,0.0262959
0.0300554,0.0226419
0.102823,0.018587
0.105027,0.00527986
0.0526461,-0.00188466
-0.0275532,-0.0107727
-0.0635177,-0.0126954
-0.0539453,-0.0142578
-0.0546157,0.00204651
-0.107886,7.58e-05
-0.145029,0.00551982
0.0455356,0.0226512
0.328254,0.0271799
0.494389,0.0146124
0.374867,0.00289285
0.107846,-0.0042247
-0.108249,-0.00211636
-0.132683,-0.00837759
