Comp Ch 3,Comp Ch 4
-0.00868886,0.00812874
-0.00450272,0.00311457
0.00489163,0.00612468
-0.011273,0.00423117
-0.0149911,0.00275456
-0.00939145,-0.00198501
-0.0246633,-0.0242948
-0.0263699,-0.00779435
-0.0173539,0.00681091
-0.0208123,0.00700467
-0.0113435,-3.51e-06
-0.00339048,0.00212841
0.00306908,0.0029223
0.000283308,0.0084561
-0.0103323,0.0104192
-0.0233412,-0.00197698
-0.00768925,0.00714839
0.0225519,0.00847401
0.0292081,0.00220906
0.0179952,0.00330264
-0.000745647,0.00455285
-0.0112257,-0.000635754
-0.00401178,0.0011791
0.00673239,-0.00332963
0.00851291,-0.0130852
-0.000427815,-0.00805611
-0.00654354,-0.00291284
-0.00624215,0.00324727
0.00119764,-0.000158426
0.00345197,-0.000228978
-0.0030549,0.00180597
-0.0183138,-0.00784686
-0.0138094,-0.00889534
0.0373225,-0.00189672
0.0616747,0.0130135
0.0259493,0.00228925
-0.000190235,-0.0035189
-0.0181592,0.00793978
-0.0291209,0.00552089
-0.0248183,-0.0102113
-0.00794064,-0.0128901
0.00119692,-0.00449656
-0.00230843,-0.00471634
-0.00806344,-0.0107752
-0.00845084,-0.00566551
-0.00542659,0.00198149
-0.010104,0.00612701
-0.0211983,0.00615622
-0.0258513,0.00331417
-0.0197856,0.00179247
-0.00158688,-0.00117131
0.0369591,0.0168686
0.0367884,0.0117924
0.0114737,0.0137937
0.00360423,0.010653
-0.0196451,-0.0144445
-0.0269415,-0.0372712
0.0552402,-0.0258549
0.0576225,-0.0207286
0.00671372,-0.017114
0.0272736,0.00968512
0.0578656,0.0280636
-0.012491,0.0260696
-0.0551342,0.02536
-0.0422992,0.0142235
-0.0315294,0.00523008
-0.0183254,0.00245739
-0.00312194,0.000171077
0.00284227,0.00219819
-0.000374721,0.00358928
-0.00429753,-0.000164671
0.000783299,0.000550953
0.00719635,-0.000852383
0.013648,-0.00416392
0.0122535,-0.0083737
0.00553259,-0.0111926
-0.0025619,-0.0107966
-0.0022658,-0.0077632
-0.00203984,-0.00588238
-0.00497497,-0.00320998
-0.00711536,0.000859162
-0.00790089,0.00356835
-0.00625226,0.00541982
-0.00355425,0.00656278
-0.00010372,0.00697177
-0.000262507,0.00807591
-0.00668731,0.0075746
-0.0119897,0.00571921
-0.00765121,0.0048519
-0.000738912,-0.00789484
0.0106032,-0.0296018
0.0396608,0.0141217
0.0321388,0.0122149
0.00187972,-0.0204907
0.00724474,-1.95e-05
-0.0258367,-0.0264684
-0.0527553,-0.0218923
-0.014556,-0.00749349
0.0171112,0.0155987
0.00704697,0.00767677
0.00423165,-0.00932133
0.00906217,0.00291971
0.00751596,0.00593155
0.0129693,0.00478119
0.0138367,0.00539742
-0.018268,0.00462101
-0.0906506,0.00394092
-0.0290991,-0.000112742
0.0904119,-0.00446677
0.142889,-0.000602638
0.173868,0.00642689
0.0973562,0.0124351
-0.0215747,0.00997084
-0.0936529,0.00523357
-0.156495,0.000279981
-0.136291,-0.00169235
-0.0717353,-0.00121125
-0.0148417,-0.000256324
0.00708173,-0.00360399
-0.00533186,-0.00985698
-0.00713343,-0.00195778
0.00307971,0.0127297
0.0146972,0.00806939
0.0142604,-0.0141311
0.00496722,-0.00710315
-0.00593372,-0.00237483
-0.0124795,-0.0055667
-0.00658887,-0.0101868
0.00497287,-0.00589986
0.0159788,-0.0018724
0.0164712,0.000285522
0.0133061,-0.000162948
0.0118561,0.00115937
0.016471,0.00661548
0.0251816,0.00875587
0.02254,0.00910671
0.0102862,0.00947104
-0.000338523,0.00674272
-0.00292511,0.00580165
0.000944533,0.00648495
0.00166386,0.0037332
-0.00314041,-0.00306713
-0.0122647,-0.00766038
-0.0170219,-0.00901609
-0.0117942,-0.00714938
-0.00167854,-0.00561914
0.00411311,-0.00626828
0.00449657,-0.010287
0.00131146,-0.0132549
0.0106836,-0.00159879
0.0133408,0.000241681
0.00674395,-0.0022177
-0.00254177,-0.00151575
-0.016948,0.00128712
-0.0222942,0.00146201
-0.0148411,0.00185367
-0.00664098,0.00833442
-0.00146314,0.00784894
-0.00298124,0.00579053
-0.00924487,0.00768043
-0.00934113,0.0107199
-0.00056432,0.012823
0.01064,0.0107977
0.0117645,0.00753321
0.00955533,0.00244338
0.00570506,-0.000755863
0.00939203,-0.00107914
0.0155664,-0.00381557
0.0170239,-0.00584849
0.0167921,-0.00879112
0.0130247,-0.0108671
0.00718637,-0.0127407
0.00665059,-0.015271
0.0100153,-0.0158463
0.00169131,-0.00576476
-0.00996787,0.00410904
-0.0342258,0.00422191
-0.0284058,0.00596206
-0.0145234,0.00530288
-0.0158528,0.00778697
-0.0135393,0.00846369
-0.00826645,0.00748274
-0.00381349,0.00926415
0.00181884,0.00761762
0.00946979,0.00268433
0.012005,0.00405531
0.0035813,0.00397876
-0.00951402,-0.000859363
-0.0230426,0.00168421
-0.106438,-0.000558213
-0.114679,-0.008262
0.037731,-0.0139332
0.0959193,-0.0114097
0.219493,-0.00514855
0.269566,0.00089715
0.110965,-0.00490256
-0.0745823,-0.0117357
-0.159494,-0.0124075
-0.146457,-0.00884268
-0.0831994,-0.00670678
-0.019343,-0.00486387
0.0214767,-0.00021316
0.0583581,0.00635206
0.0536643,0.00987513
0.0236567,0.0108827
0.0060004,0.0126834
0.00968721,0.0113973
0.0103947,0.00877761
-0.00180362,0.00795375
-0.00988642,0.00670918
-0.0228687,0.00576609
-0.0285322,0.00449186
-0.0081292,0.00235689
-0.111347,-0.00102115
-0.360388,-0.00798529
-0.425147,-0.010685
-0.222296,-0.00446576
0.195207,0.00451088
0.397713,0.00817986
0.290403,-0.00375892
0.117626,-0.00953814
-0.0360724,-0.00290835
-0.082843,0.00296308
-0.0267809,-0.00365983
0.0337777,-0.0144801
0.0842556,-0.0223238
0.152642,-0.0161059
0.27674,-0.00876787
0.183894,-0.00490741
0.00752794,-0.00369292
-0.110345,0.00274102
-0.132653,0.00523553
-0.0985922,0.00679007
-0.0688297,0.00604612
-0.0529133,0.00734572
-0.0321306,0.0109494
-0.00540597,0.0141621
0.00156766,0.0115693
-0.0154741,0.00663845
-0.034592,0.00600634
-0.0371269,0.00894753
-0.0182669,0.0121909
0.0128336,0.0080651
0.028544,0.0012146
0.0269421,-0.00368029
0.130355,-0.00423959
0.264373,-0.0104836
0.0768782,-0.0176234
-0.243281,-0.0130799
-0.48023,0.00417182
-0.323473,0.00932146
-0.204469,0.000273565
-0.151977,-0.00715193
0.158417,-0.00905332
0.341171,-0.0151995
0.251525,-0.0164406
0.113421,-0.0122545
0.0356525,-0.0135645
0.0661487,-0.00950244
0.0496476,0.00107018
0.0769273,0.014827
0.0652019,0.0253187
0.0941879,0.0269769
-0.0749,0.0265958
-0.0941605,0.0268101
0.0290724,0.0270268
0.0640459,0.0218818
0.0771477,0.0145432
0.0610983,0.00868376
-0.0413463,0.00249251
-0.0651112,-0.00347141
-0.0419659,-0.0141236
0.0574542,-0.0250199
0.0271647,-0.0273519
-0.25345,-0.0148777
-0.358988,0.00890283
-0.378599,0.0229044
-0.151666,0.0132979
0.105166,-7.26e-05
-0.0372831,-0.00984526
-0.482132,-0.0203483
-0.797113,-0.0199667
-0.411153,-0.0121156
0.625941,-0.00885767
1.33145,-0.0264894
1.35532,-0.0379793
0.896726,-0.0336306
0.0139246,-0.0227343
-0.395689,-0.0144679
-0.513838,-0.00405698
-0.122865,0.0128168
0.271422,0.0290346
0.120064,0.0279907
-0.00498592,0.0218008
-0.368589,0.0132396
-0.443005,0.0136247
-0.306012,0.0121862
-0.107989,0.00469536
0.0256315,-0.00131183
0.0340744,-0.000811368
-0.0480519,0.00361564
-0.136033,-0.0012234
-0.154031,-0.00694811
-0.0757176,-0.00894368
0.0394622,-0.0087237
0.0658042,-0.00801922
-0.0123119,-0.00925227
-0.0350216,-0.0104311
0.185869,-0.00879355
0.370047,-0.00689913
0.257859,-0.00454508
-0.257202,-0.0039567
-0.515718,0.00398554
-0.357164,0.0157195
0.0102873,0.0229383
0.338044,0.0220986
0.345427,0.00704737
0.193859,-0.00501875
0.058965,0.0102075
0.00807372,0.0123606
0.0934518,0.00689601
0.316493,0.00712746
0.197412,0.00245446
-0.106762,0.00516432
-0.25632,0.0116011
-0.304811,-0.00647479
-0.5401,-0.0294996
-0.672029,-0.0447118
-0.557724,-0.0377865
0.00579131,-0.0111552
0.513605,0.0140297
0.663792,0.0200412
0.472301,0.0139586
0.227633,-0.00218373
0.152945,-0.0120876
-0.189728,-0.0147127
-0.432154,-0.0162696
-0.420319,-0.000698263
-0.0855941,0.0227873
0.35527,0.0386559
0.329737,0.0253694
0.0540271,0.0153138
-0.0202732,0.0144867
0.0153745,0.0133358
-0.0814764,0.00948937
-0.0844202,0.00540623
0.0525554,0.000879105
0.212015,-0.00294406
0.15023,-0.00389775
0.00536398,-0.00415751
-0.116599,-0.000160714
-0.151348,0.00135748
-0.0809385,0.00130632
0.0339844,0.00151538
0.020471,-3.96e-05
-0.0706209,-0.00204011
-0.0352969,-0.0109791
0.0386419,-0.0183544
-0.30506,-0.0203866
-0.598832,-0.0217787
-0.0210002,-0.0241377
1.01449,-0.0287813
1.07011,-0.0197021
0.449989,0.0124811
0.118148,0.0328855
-0.20269,0.0381167
-0.593417,0.0258973
-0.637622,0.00576215
-0.403828,-0.00162074
-0.160161,-0.00292777
-0.169471,-0.00697299
-0.463098,-0.0112678
-0.675853,-0.00882283
-0.476075,-0.00251721
0.23715,0.00569258
0.840539,0.00404466
0.86789,0.00298516
0.39357,0.00279785
0.0759902,0.00265759
-0.0550359,-0.000870912
-0.0747401,-0.00640036
-0.00821661,-0.00613541
0.0847098,0.00268021
0.109498,0.00628085
0.0150879,0.0074236
-0.0783423,0.0102883
-0.0834388,0.0053841
-0.0607098,-0.000630221
-0.0248459,-0.000892563
-0.0300928,0.000163064
-0.0538785,-0.00142612
-0.0399128,-0.00320182
0.00582872,-0.0072295
0.0292769,-0.00903214
0.014419,-0.00817792
-0.0194911,-0.00550053
-0.0332011,-0.00480689
-0.0131538,-0.00825702
0.0241158,-0.0117918
0.0356943,-0.0103979
