Comp Ch 3,Comp Ch 4
-0.118901,-0.0139127
0.0074918,0.00660795
-0.0673051,0.0105742
-0.0134917,-0.0483073
0.245293,-0.0344405
0.211802,0.0303781
-0.00906368,-0.00554492
-0.116241,-0.0118011
-0.12967,-0.0272999
-0.165155,-0.0487104
-0.170144,0.0304974
-0.207855,0.0774764
-0.0317075,0.0372207
0.356796,0.0420996
0.275051,0.00399793
0.0936699,-0.0516881
0.0268418,-0.0189518
0.00374439,-0.00347058
0.0160503,0.00204726
0.0352327,0.0222394
0.0326669,0.0378337
0.023599,0.0134466
-0.00944789,-0.0228184
-0.0242751,-0.02511
-0.0518545,-0.0138935
-0.0960808,-0.00655941
-0.0595075,0.00435669
0.00929828,0.00326984
-0.0123198,-0.00630723
-0.0463699,-0.0110859
-0.0376942,-0.00194135
0.0384401,0.00918411
0.0533403,0.00651964
0.00958813,0.00213642
-0.0251514,0.00648811
-0.0247584,-0.0141775
0.0349321,0.00578621
0.0785335,0.0191878
0.0299116,0.0045788
-0.0269446,-0.00734668
-0.0171327,-0.0161134
-0.000683725,-0.0144799
0.00846729,-0.0237899
0.0105229,-0.0196421
-0.017623,0.0288587
-0.0629978,0.0486019
-0.0376019,0.00515649
-0.0321933,-0.0129116
-0.0951891,-0.000663529
-0.119895,-0.0212468
-0.120922,-0.0443357
0.0595395,-0.00190773
0.140291,0.0559544
-0.11679,0.0138494
-0.175368,-0.0275725
0.102397,0.00979411
0.177889,0.011223
0.00369684,-0.00522192
-0.00437744,-0.00535056
0.107013,-0.00171444
0.0792513,0.00381944
-0.0504313,-0.0072824
-0.150316,-0.00576593
-0.0624049,0.00191396
0.0145653,-0.00175055
0.134859,0.00736478
0.26528,0.0338794
0.221747,0.0205275
0.0793568,0.000368659
-0.105428,-0.0161346
-0.228721,-0.0134408
-0.207181,-0.00935947
0.0278786,-0.00505382
0.218567,0.00274463
0.0667577,-0.00491883
0.0350332,-0.00239285
0.0159997,0.0107159
0.0213786,0.00524497
0.114259,0.00943083
0.0434175,0.00671786
-0.0292543,-0.00636207
-0.0208491,-0.00995293
-0.0211182,-0.0122465
-0.0767752,-0.01489
-0.203832,-0.00903248
-0.289616,-0.00129135
-0.312861,0.0132222
-0.125242,0.016766
0.202698,0.00623203
0.327599,-0.00523921
0.185098,-0.00101581
0.0947092,0.0102961
0.126094,-0.00915226
0.0603591,-0.032705
-0.19423,-0.00838824
-0.466514,0.0106893
-0.588953,-0.00707276
-0.319495,-0.0209635
0.28737,0.00915831
0.520332,0.0212794
0.288664,0.00568109
0.0156885,-0.00249768
-0.0895292,-0.00762436
0.261265,0.00785313
0.283577,-0.00603485
-0.0989357,-0.0242693
-0.13191,-0.00737182
-0.0466844,0.0234984
-0.0373106,0.0287623
-0.246368,0.0302909
-0.187082,0.0114732
0.0858044,-0.0141618
0.264703,0.0036547
0.303073,-0.00656521
0.225711,-0.0184651
0.0571802,-0.0295166
-0.0431169,-0.00418879
-0.0517247,0.0151614
-0.0254962,0.00857428
-0.0155008,0.00983692
-0.0445698,0.00810768
-0.0718661,-0.0172843
-0.0664417,0.00238647
-0.0504017,-0.00259979
-0.0408478,-0.0096105
-0.0144781,0.00030815
0.00510474,0.0123284
-0.0109017,0.00483607
-0.00380593,-0.00052885
-0.00296417,0.00578532
-0.0340926,0.0157819
-0.101135,-0.000492313
-0.138494,-0.0295366
-0.0880327,-0.00258785
0.0156332,0.00173588
0.137026,-0.0149091
-0.0132111,-0.0178648
-0.236312,0.0316921
-0.217889,0.0633939
0.0160506,0.0187746
0.299579,0.00267917
0.280855,-0.0106198
0.100622,-0.0202856
-0.0709642,-0.0354856
-0.269194,-0.068952
-0.365622,-0.0651334
-0.251585,-0.000562511
-0.121415,0.0126259
0.0429057,0.00707488
0.324576,0.0218736
0.481353,0.0533315
0.3608,0.0398456
0.159032,0.000137298
0.0668617,-0.0134831
0.00990901,0.0136773
-0.06695,0.0197058
-0.0938013,-0.0111075
-0.0102016,-0.0301988
0.0261996,-0.0180883
0.0526307,-0.00647601
0.056186,0.0122929
-0.0143214,0.0308269
-0.0419707,0.0259006
-0.00543524,0.00138933
0.00859915,0.0129903
-0.0249831,0.0209503
-0.0996384,-0.00396284
-0.175624,-0.0527665
-0.160018,-0.0549267
-0.12167,-0.0285652
-0.100136,0.0212006
-0.103553,0.0266162
-0.108986,-0.0156372
0.0177119,0.0126361
0.0846579,0.0610471
-0.0326923,-0.0415142
-0.0409956,-0.0374213
0.144575,0.0524105
0.30318,0.00788992
0.234304,-0.0116684
0.133782,0.0406711
0.0325486,-0.00709573
0.0206949,-0.0148714
0.0135782,0.0301764
-0.0646004,0.018185
-0.0380589,-0.0156441
0.0668875,-0.0182401
0.0758367,-0.00629325
0.0287898,0.0122775
-0.017285,0.0153199
-0.0721299,0.0152456
-0.166823,0.0027115
-0.303348,-0.0413286
-0.455319,-0.0528316
-0.513685,-0.014559
-0.339183,-0.0376782
0.345571,-0.063514
0.623529,0.0169979
0.0827112,0.0314058
-0.133055,0.0252595
-0.116806,0.0177461
-0.196263,-0.00805057
-0.214952,-0.0109715
-0.102395,-0.0035572
0.336463,0.0161927
0.642753,0.0179354
0.283047,0.00903584
-0.0288405,0.0301863
0.0116726,0.0389819
0.167534,0.0374737
0.334205,-0.0239379
0.255634,-0.0445171
0.0794805,-0.0328564
0.0641575,0.0388191
0.0125777,0.0420558
-0.0287288,0.00233263
-0.114168,-0.000684595
-0.154492,-0.0114753
-0.0534913,0.00291865
0.0302519,0.00540293
-0.0287758,-0.0203968
-0.167056,-0.0283308
-0.223817,-0.0196162
-0.202597,0.0061353
0.0213898,0.00831982
0.209993,-0.0214207
0.0342273,-0.0701249
-0.201541,-0.0506899
-0.393104,0.0315709
-0.618412,0.0342266
-1.14961,0.0181547
-1.5626,0.00741456
-0.888692,-0.033287
0.871203,-0.00195005
1.90237,0.040535
1.3603,0.0296125
0.583978,0.0350578
0.305126,0.0222114
0.0991741,0.00444631
0.263845,-0.00891538
0.197,-0.0100533
-0.0210203,-0.00893485
0.010558,0.00204307
0.0874649,-0.00706729
0.0531889,-0.00969534
-0.119918,-0.00724943
-0.0922477,0.00324101
-0.0908037,0.00247876
-0.438213,-0.0285896
-0.697006,-0.018422
-0.605382,-0.00607843
-0.120663,-0.00717442
0.574818,0.0152899
0.708456,-0.00962929
0.0645145,-0.0117225
-0.395507,0.00088681
-0.432225,-0.0372826
-0.137354,-0.00793165
0.122329,0.0336232
0.24327,0.0555168
0.188088,0.0431235
-0.156636,0.0139135
-0.359117,-0.000571687
-0.137913,0.0178245
0.289141,0.0169732
