Comp Ch 3,Comp Ch 4
-0.0648889,-0.0311539
-0.0493118,-0.013429
-0.0127303,-0.00313485
0.0150114,-0.0171083
0.0258302,-0.030281
0.0162182,-0.000874564
-0.00391423,0.0507799
-0.0193218,0.0357508
-0.0179432,-0.00241311
-0.0193666,-0.0368242
-0.0137949,-0.0194468
0.0190741,0.0153891
0.0346555,0.00977932
0.0602383,-0.00918844
0.0798666,0.00119503
0.0789472,0.0320736
0.00424875,0.0273438
-0.0914478,-0.00191937
-0.0730556,-0.00358297
-0.0586311,0.016241
-0.0344826,-0.0335665
0.00891348,-0.0490169
0.0477004,0.0177089
0.0403775,0.0160964
-0.00433706,0.0173245
-0.0341075,0.0223906
-0.0287336,0.00242361
-0.00565155,-0.0160708
0.0285235,-0.0353944
0.0525669,0.000603493
0.0782559,0.0245321
0.0876778,0.0373664
0.0648461,0.0483652
0.0013222,-8.23e-05
-0.0838288,-0.0444719
-0.111055,-0.0354258
-0.0539108,0.0134001
0.00104796,0.0432185
-0.0223353,0.0213587
-0.0699271,0.0168074
-0.0414076,0.0167665
0.00712267,-0.00548454
0.031262,-0.0290113
0.0293901,-0.033619
0.0209354,-0.0381895
0.0257248,-0.00908695
0.0239257,0.0183511
0.00534351,-0.00713323
-0.00864398,-0.0311806
0.0128391,0.00937053
0.0180631,0.0330109
0.0216722,-0.00145815
0.0538656,-0.0203343
0.0517387,-0.0218567
0.032377,-0.0160323
-0.0081035,-0.0021332
-0.0119285,0.0240521
0.00193629,0.0441643
-0.0425994,0.0419199
-0.0889943,0.0338878
-0.0648421,-0.00810476
-0.00716865,-0.0410067
-0.00136032,-0.00483386
-0.0090553,0.029592
-0.00355663,0.0129529
0.00123853,-0.0322377
0.00806871,-0.0265546
0.0125701,-0.00328144
-0.00188289,-0.0561197
-0.0117255,-0.031246
-0.0119026,0.0272091
0.00255818,0.00824717
0.0173018,-0.00656731
0.0186084,0.0206686
0.011295,0.015564
0.0094841,-0.00993546
0.0158675,-0.00572223
0.0219679,0.031483
0.0189271,0.0299216
0.00603149,-0.0462395
-0.0123612,-0.156914
-0.0127093,-0.138582
0.00237177,-0.0314385
0.00556914,0.0440639
0.00127281,0.0621417
-0.00898551,0.0309204
-0.0226074,0.0214902
-0.0178776,0.028929
-0.000987728,0.0308973
0.00598467,0.0628299
0.000166048,0.0501437
-0.00635152,0.0128097
0.000181281,-0.00020063
0.0116847,0.00625518
0.0167322,0.00228588
0.00713222,-0.0210368
-0.00643865,-0.014065
-0.00884117,0.0295815
0.000815926,0.0672988
0.0126472,0.0346342
0.0180588,-0.0274423
0.016409,-0.0319324
0.0046351,-0.0187656
-0.00612274,-0.00818045
-0.0236101,-0.00539654
-0.0567535,-0.010308
-0.0610602,-0.0210698
-0.0238224,-0.0119896
-0.0138662,0.0182832
-0.00400341,0.0237995
0.0122829,0.00344348
0.014767,-0.0164818
0.00226776,-0.0416424
-0.00728524,-0.00827935
-0.0112951,0.0248176
0.0112877,0.0197864
0.0384054,0.00912286
0.0420702,-0.00234979
0.0571872,0.00130188
0.0484798,0.00806675
0.0139605,0.00477278
0.00194375,-0.00346103
-0.00502018,0.00674293
-0.0187289,0.0146551
-0.0135257,0.00345242
0.0188914,-0.0125417
0.0446054,-0.0300298
0.0390566,0.00238073
-0.00686548,0.0285123
-0.0485721,0.00825038
-0.0210095,-0.0102644
0.0307165,-0.0127054
0.038136,0.00555412
0.014988,0.017847
-0.057089,0.00219953
-0.0758982,-0.00291902
-0.0285965,-0.0285369
0.0223952,-0.0210256
0.0462601,-0.0162007
0.0210571,-0.0433063
-0.0585842,-0.0786961
-0.112017,-0.0276534
-0.0530848,0.0230476
-0.0207254,0.0274754
-0.0013813,0.0547015
0.0140774,0.0553929
0.0211233,0.0283287
0.0106919,0.0144616
-0.00764816,0.00809234
-0.0151512,0.0118431
-0.00675996,0.00773607
