Comp Ch 3,Comp Ch 4
-0.022738,-0.0496308
-0.011784,-0.0102192
-0.00153998,-0.00587926
0.0200513,0.00469181
0.0323556,-0.0112793
0.0264351,-0.0353595
0.00242321,-0.0454887
-0.0220974,-0.0423929
-0.0355387,-0.0582071
-0.0354028,-0.0542563
-0.0370584,-0.0168234
-0.0527978,0.0227371
-0.061256,0.042524
-0.0349709,0.0580935
0.00565456,0.0242211
0.0622861,-0.0310366
0.123529,-0.0177089
0.183421,0.022075
0.162856,0.0132472
0.0802673,0.0107042
0.0347362,-0.00446232
-0.0458768,-0.0244167
-0.058003,-0.0149212
-0.0592741,-0.00387876
0.0270417,-0.0038285
0.122186,0.0106056
0.0816763,0.00290468
-0.0293193,0.00274578
-0.139957,0.012398
-0.233279,0.0262856
-0.258414,0.017703
-0.211612,-0.00596638
-0.114985,0.00376848
-0.0242505,0.00749317
0.098967,0.00705932
0.324147,0.00106616
0.314687,0.0119065
0.0854155,0.0282963
-0.142634,-0.0103555
-0.179963,-0.0393399
-0.137266,-0.0467244
-0.100531,-0.0404303
-0.0769239,0.00271334
-0.0318305,0.0367374
-0.00837068,0.0290923
-0.0161897,0.0118094
-0.00320675,0.0120534
0.156673,0.0255107
0.306566,0.0147687
0.323793,-0.0420893
0.286469,-0.0354102
0.111185,-0.00692918
-0.150176,0.019807
-0.29149,0.0384132
-0.250063,0.0266191
-0.148734,-0.0116013
-0.0910529,-0.044978
-0.0657484,-0.0452384
-0.0410244,-0.0396185
-0.0250061,-0.00297409
0.019643,0.0257114
0.0574375,0.0342792
0.0268827,0.0305912
-0.00342305,-0.0367994
-0.00347193,-0.101807
-0.00630436,-0.0610313
-0.0203526,0.0316174
0.0171362,0.0644972
0.0722306,0.0357348
0.103895,0.0122121
0.136176,0.00254136
0.162986,0.0122301
0.137349,0.021015
0.101432,-0.013163
0.0267936,-0.0700652
-0.0661348,-0.00441764
-0.119998,0.0625237
-0.0950895,0.0481517
-0.117896,0.0263454
-0.171897,0.00923263
-0.135337,0.0246304
-0.0741456,0.0323563
-0.0271352,-0.00440487
-0.0105189,-0.0392546
-0.00859827,-0.0189811
-0.00211245,0.0121866
0.0255715,0.00468024
0.0554855,-0.0260293
0.064993,-0.0375211
0.0552887,-0.0138965
0.0455133,0.00859288
0.050861,0.00867112
0.0569057,0.0039015
0.0481402,0.00877381
0.0171224,0.00723378
-0.0128918,-0.00862368
-0.0329917,-0.0176056
-0.0304902,-0.017568
-0.0148462,-0.0109092
-0.0151636,-0.00227137
-0.0179828,0.000300601
-0.016032,0.00736662
-0.00752016,0.00399247
0.0114428,0.000659105
0.027719,0.000421465
0.0325361,0.00602885
0.0271705,0.00670416
0.0204031,0.00310444
0.0195811,0.000421716
0.0223676,0.00137251
0.00403622,0.00261686
-0.041288,0.0075421
-0.0635265,0.0155594
-0.064668,0.000882633
-0.0609941,-0.00750222
-0.0500558,0.0316094
-0.0413859,0.0512194
-0.0514602,-0.031083
-0.0505546,-0.092468
-0.00859482,-0.0589716
0.00864621,-0.0240008
0.0124404,0.00627611
0.0536002,0.0456636
0.0927827,0.0642681
0.0853766,0.0294646
0.0434978,-0.0132046
0.0474961,-0.0214708
0.196541,-0.0231737
0.56748,-0.0184409
0.765323,-0.00742875
0.392341,-0.00292254
-0.185904,0.0210602
-0.586572,0.0262581
-0.712892,-0.00487769
-0.58667,-0.00321766
-0.278323,-0.00530464
-0.004257,-0.000773506
0.135952,0.0152875
0.0676535,-0.00170734
-0.0758909,-0.0341461
-0.130441,0.00371221
-0.118839,0.0254759
-0.0721342,0.0156831
-0.03473,-0.00728789
-0.00136574,-0.0202365
-0.0125364,-0.0164345
-0.0553392,-0.000397922
-0.0726481,-0.00926847
-0.0344499,-0.00495268
0.0179444,-0.00335499
0.059984,-0.0156916
0.0857824,-0.0185605
0.092736,-0.00654832
0.113051,-0.00366339
0.149262,0.0346742
0.15071,0.0786624
0.139968,0.0875079
0.195423,0.0701446
0.241295,0.00264855
0.184983,-0.0766292
0.0379647,-0.096913
-0.110507,-0.0855581
-0.225625,-0.0386029
-0.278024,-0.0333164
-0.277858,0.0322142
-0.1752,0.0283785
-0.0548227,0.00810308
0.00976897,0.024666
0.0666015,0.00760106
0.167009,-0.000339659
0.476592,0.029163
0.743438,0.0650776
0.57226,0.0138395
0.123202,-0.0190166
-0.217191,-0.0137672
-0.418778,-0.0440286
-0.509211,-0.037606
-0.490099,0.0448182
-0.42368,0.1365
-0.296973,0.134303
-0.121635,0.0691276
0.0145866,-0.0524577
0.0668284,-0.15039
0.0727967,-0.0511787
0.170203,0.09269
0.198592,0.0563965
0.153383,-0.0382743
0.153022,-0.132104
0.248905,-0.167127
0.231267,-0.103584
0.00704383,-0.0227357
-0.246319,0.0362888
-0.322404,0.0707674
-0.296473,0.0446894
-0.167851,0.00393994
-0.0161497,-0.00851791
0.0675869,0.00281381
0.264077,0.031587
0.390016,0.0212265
0.176176,-0.00711492
-0.119193,0.00548972
-0.266205,-0.000680153
-0.249833,-0.0162042
-0.182914,-0.00851001
-0.131365,0.00238681
-0.0831076,0.0402018
-0.0337658,0.0260386
-0.00331245,-0.00878241
0.0280396,0.00339987
0.0676368,0.0243633
0.132425,0.0311864
0.238304,0.0202757
0.278466,-0.0216066
0.221914,-0.0435022
0.149699,-0.0169427
0.11038,0.00366585
0.0406791,0.0310364
-0.106408,-0.0292537
-0.150702,-0.0522373
-0.123152,-0.00230372
-0.0800832,0.0198836
0.0137319,0.0302348
0.148514,0.00571662
0.240866,-0.00842528
0.120443,0.00945366
-0.100368,0.0273773
-0.209386,0.0338756
-0.218605,0.0300343
-0.222831,0.0062671
-0.196365,-0.0226915
-0.0842178,-0.0390963
-0.0146875,-0.0397205
0.00795145,0.00529185
0.0182167,0.0465707
-0.0229792,0.0238856
-0.0129286,0.0318951
0.228765,0.0456562
0.300903,-0.0354281
0.305994,-0.134171
0.410299,-0.116309
0.251632,-0.0556761
-0.209964,0.00698602
